po_number,po_line_item,vendor_id,material_id,quantity,unit_price,total_amount,order_date,delivery_date,purchaser,department,status,currency
PO200001,1,V10001,M100001,5,3500.00,17500.00,2023-01-15,2023-02-15,אבי כהן,IT,Closed,USD
PO200001,2,V10001,M100002,10,450.00,4500.00,2023-01-15,2023-02-15,אבי כהן,IT,Closed,USD
PO200002,1,V10003,M100005,2,1200.00,2400.00,2023-01-20,2023-02-20,רחל לוי,HR,Closed,ILS
PO200003,1,V10002,M100008,3,2200.00,6600.00,2023-01-25,2023-03-01,יוסי שמואל,Operations,Closed,EUR
PO200003,2,V10002,M100009,50,35.00,1750.00,2023-01-25,2023-03-01,יוסי שמואל,Operations,Closed,EUR
PO200004,1,V10005,M100012,20,280.00,5600.00,2023-02-01,2023-02-28,דנה גרין,IT,Closed,USD
PO200005,1,V10007,M100015,4,420.00,1680.00,2023-02-05,2023-03-05,אבי כהן,IT,Closed,ILS
PO200006,1,V10010,M100021,8,1200.00,9600.00,2023-02-10,2023-03-15,רחל לוי,HR,Closed,USD
PO200007,1,V10001,M100016,3,4200.00,12600.00,2023-02-15,2023-03-20,יוסי שמואל,R&D,Closed,USD
PO200008,1,V10004,M100025,100,45.00,4500.00,2023-02-20,2023-03-10,דנה גרין,IT,Closed,ILS
PO200009,1,V10006,M100030,2,580.00,1160.00,2023-02-25,2023-03-25,אבי כהן,IT,Closed,EUR
PO200010,1,V10008,M100035,5,520.00,2600.00,2023-03-01,2023-03-30,רחל לוי,Finance,Closed,ILS
PO200011,1,V10012,M100040,25,65.00,1625.00,2023-03-05,2023-04-05,יוסי שמואל,IT,Closed,USD
PO200012,1,V10015,M100045,1,1450.00,1450.00,2023-03-10,2023-04-10,דנה גרין,Finance,Closed,ILS
PO200013,1,V10020,M100001,2,3500.00,7000.00,2023-03-15,2023-04-15,אבי כהן,IT,Partially Received,USD
PO200014,1,V10025,M100006,12,950.00,11400.00,2023-03-20,2023-04-25,רחל לוי,HR,Closed,EUR
PO200015,1,V10030,M100010,50,85.00,4250.00,2023-03-25,2023-04-20,יוסי שמואל,IT,Closed,ILS
PO200016,1,V10002,M100023,1,3200.00,3200.00,2023-04-01,2023-05-01,דנה גרין,Operations,Closed,EUR
PO200017,1,V10007,M100027,10,650.00,6500.00,2023-04-05,2023-05-05,אבי כהן,R&D,Closed,ILS
PO200018,1,V10011,M100032,15,220.00,3300.00,2023-04-10,2023-05-10,רחל לוי,IT,Closed,USD
PO200019,1,V10018,M100037,6,850.00,5100.00,2023-04-15,2023-05-20,יוסי שמואל,HR,Closed,ILS
PO200020,1,V10022,M100041,4,1200.00,4800.00,2023-04-20,2023-05-25,דנה גרין,R&D,Closed,USD
PO200021,1,V10001,M100003,30,180.00,5400.00,2023-04-25,2023-05-30,אבי כהן,IT,Closed,USD
PO200022,1,V10005,M100013,15,380.00,5700.00,2023-05-01,2023-06-01,רחל לוי,IT,Closed,USD
PO200023,1,V10009,M100019,2,1150.00,2300.00,2023-05-05,2023-06-10,יוסי שמואל,R&D,Partially Received,EUR
PO200024,1,V10014,M100024,20,95.00,1900.00,2023-05-10,2023-06-15,דנה גרין,Operations,Closed,ILS
PO200025,1,V10017,M100029,8,320.00,2560.00,2023-05-15,2023-06-20,אבי כהן,IT,Closed,USD
PO200026,1,V10021,M100034,3,780.00,2340.00,2023-05-20,2023-06-25,רחל לוי,R&D,Closed,ILS
PO200027,1,V10026,M100039,10,120.00,1200.00,2023-05-25,2023-06-30,יוסי שמואל,Operations,Open,EUR
PO200028,1,V10031,M100044,1,1650.00,1650.00,2023-06-01,2023-07-05,דנה גרין,R&D,Open,USD
PO200029,1,V10035,M100049,2,2200.00,4400.00,2023-06-05,2023-07-10,אבי כהן,Operations,Open,ILS
PO200030,1,V10003,M100004,8,850.00,6800.00,2023-06-10,2023-07-15,רחל לוי,IT,Open,ILS
PO200031,1,V10008,M100014,6,650.00,3900.00,2023-06-15,2023-07-20,יוסי שמואל,Security,Open,USD
PO200032,1,V10013,M100033,12,450.00,5400.00,2023-06-20,2023-07-25,דנה גרין,IT,Open,EUR
PO200033,1,V10016,M100036,20,420.00,8400.00,2023-06-25,2023-07-30,אבי כהן,HR,Open,ILS
PO200034,1,V10019,M100038,5,380.00,1900.00,2023-07-01,2023-08-05,רחל לוי,Operations,Open,USD
PO200035,1,V10024,M100042,25,85.00,2125.00,2023-07-05,2023-08-10,יוסי שמואל,Finance,Open,EUR
PO200036,1,V10027,M100046,3,2200.00,6600.00,2023-07-10,2023-08-15,דנה גרין,HR,Open,ILS
PO200037,1,V10032,M100047,1,3500.00,3500.00,2023-07-15,2023-08-20,אבי כהן,HR,Open,USD
PO200038,1,V10001,M100011,40,320.00,12800.00,2023-07-20,2023-08-25,רחל לוי,IT,Open,USD
PO200039,1,V10004,M100018,15,250.00,3750.00,2023-07-25,2023-08-30,יוסי שמואל,IT,Open,ILS
PO200040,1,V10006,M100028,10,220.00,2200.00,2023-08-01,2023-09-05,דנה גרין,IT,Open,EUR
